"Rank","City","State","Total cases as of 3/30"
1,"New York","New York",223872
2,"Westchester","New York",57775
3,"Nassau","New York",41594
4,"Suffolk","New York",29482
5,"King","Washington",20472
6,"Cook","Illinois",19544
7,"Unassigned","New Jersey",15362
8,"Wayne","Michigan",14809
9,"Bergen","New Jersey",12964
10,"Rockland","New York",12497
11,"Los Angeles","California",12458
12,"Orleans","Louisiana",10356
13,"Snohomish","Washington",9587
14,"Orange","New York",7589
15,"Oakland","Michigan",7250
16,"Fairfield","Connecticut",6902
17,"Essex","New Jersey",6838
18,"Miami-Dade","Florida",6771
19,"Middlesex","Massachusetts",6391
20,"Santa Clara","California",6364
21,"Broward","Florida",5701
22,"Suffolk","Massachusetts",5416
23,"Middlesex","New Jersey",5329
24,"Hudson","New Jersey",5218
25,"Monmouth","New Jersey",5104
26,"Philadelphia","Pennsylvania",5015
27,"Jefferson","Louisiana",4867
28,"Union","New Jersey",4833
29,"Passaic","New Jersey",4319
30,"Ocean","New Jersey",3940
31,"Milwaukee","Wisconsin",3857
32,"Clark","Nevada",3740
33,"Macomb","Michigan",3723
34,"Marion","Indiana",3528
35,"San Diego","California",3474
36,"Morris","New Jersey",3324
37,"Norfolk","Massachusetts",3323
38,"Maricopa","Arizona",3257
39,"Dallas","Texas",3195
40,"Montgomery","Pennsylvania",3153
41,"Davidson","Tennessee",3149
42,"Cuyahoga","Ohio",2883
43,"Essex","Massachusetts",2854
44,"Fulton","Georgia",2839
45,"Orange","California",2808
46,"Denver","Colorado",2684
47,"Harris","Texas",2661
48,"San Francisco","California",2613
49,"San Mateo","California",2505
50,"District of Columbia","District of Columbia",2322
51,"Pierce","Washington",2315
52,"Unassigned","Massachusetts",2248
53,"Erie","New York",2174
54,"Mecklenburg","North Carolina",2157
55,"Dutchess","New York",2022
56,"Salt Lake","Utah",2021
57,"Shelby","Tennessee",1995
58,"Palm Beach","Florida",1967
59,"Montgomery","Maryland",1950
60,"Alameda","California",1911
61,"Lake","Illinois",1844
62,"Albany","New York",1818
63,"St. Louis","Missouri",1811
64,"DuPage","Illinois",1781
65,"Worcester","Massachusetts",1774
66,"Somerset","New Jersey",1755
67,"New Haven","Connecticut",1652
68,"Jefferson","Alabama",1622
69,"DeKalb","Georgia",1614
70,"Hartford","Connecticut",1581
71,"Unassigned","Washington",1579
72,"Sacramento","California",1578
73,"Plymouth","Massachusetts",1573
74,"Eagle","Colorado",1560
75,"Delaware","Pennsylvania",1553
76,"Contra Costa","California",1522
77,"Dougherty","Georgia",1518
78,"Monroe","New York",1517
79,"Cobb","Georgia",1515
80,"Hillsborough","Florida",1460
81,"Unassigned","Georgia",1417
82,"Allegheny","Pennsylvania",1409
83,"Travis","Texas",1397
84,"Prince George's","Maryland",1376
85,"Hennepin","Minnesota",1359
86,"Franklin","Ohio",1315
87,"Dane","Wisconsin",1315
88,"Orange","Florida",1310
89,"Riverside","California",1303
90,"Jefferson","Colorado",1287
91,"Arapahoe","Colorado",1283
92,"El Paso","Colorado",1275
93,"Washington","Oregon",1232
94,"Washtenaw","Michigan",1215
95,"Bucks","Pennsylvania",1202
96,"Mercer","New Jersey",1196
97,"Caddo","Louisiana",1117
98,"Tarrant","Texas",1105
99,"Onondaga","New York",1104
100,"Wake","North Carolina",1101
101,"Fairfax","Virginia",1098
102,"Unassigned","Tennessee",1070
103,"Bristol","Massachusetts",1056
104,"Providence","Rhode Island",1047
105,"Summit","Utah",1040
106,"Cumberland","Maine",1035
107,"Bartow","Georgia",1006
108,"Weld","Colorado",1000
109,"New Castle","Delaware",991
110,"Out of TN","Tennessee",990
111,"Bexar","Texas",980
112,"East Baton Rouge","Louisiana",961
113,"Unassigned","Illinois",940
114,"Putnam","New York",929
115,"Berkshire","Massachusetts",918
116,"St. Tammany","Louisiana",916
117,"Williamson","Tennessee",912
118,"Durham","North Carolina",908
119,"Denton","Texas",902
120,"Baltimore","Maryland",901
121,"Hampden","Massachusetts",899
122,"Camden","New Jersey",882
123,"Ulster","New York",865
124,"Monroe","Pennsylvania",855
125,"Gwinnett","Georgia",852
126,"Duval","Florida",847
127,"Collin","Texas",840
128,"Fort Bend","Texas",840
129,"Kershaw","South Carolina",827
130,"Burlington","New Jersey",826
131,"Will","Illinois",825
132,"Unassigned","Colorado",819
133,"Pima","Arizona",817
134,"Chester","Pennsylvania",815
135,"San Joaquin","California",813
136,"Barnstable","Massachusetts",798
137,"Honolulu","Hawaii",784
138,"Lehigh","Pennsylvania",775
139,"Saratoga","New York",768
140,"Oklahoma","Oklahoma",751
141,"Baltimore City","Maryland",745
142,"","Puerto Rico",743
143,"Pinellas","Florida",741
144,"Whatcom","Washington",740
145,"Lee","Florida",739
146,"Ascension","Louisiana",739
147,"Unassigned","Kentucky",732
148,"Collier","Florida",724
149,"Skagit","Washington",720
150,"Douglas","Colorado",711
151,"Unassigned","Nevada",708
152,"Chittenden","Vermont",704
153,"Blaine","Idaho",700
154,"Northampton","Pennsylvania",699
155,"Bernalillo","New Mexico",698
156,"Johnson","Kansas",685
157,"Marin","California",680
158,"","Diamond Princess",680
159,"Richland","South Carolina",673
160,"Genesee","Michigan",669
161,"Marion","Oregon",669
162,"Washoe","Nevada",666
163,"Charleston","South Carolina",661
164,"Spokane","Washington",658
165,"Pulaski","Arkansas",657
166,"Yakima","Washington",656
167,"Johnson","Iowa",649
168,"Rockingham","New Hampshire",641
169,"Boulder","Colorado",639
170,"Island","Washington",624
171,"Unassigned","New York",622
172,"Ventura","California",621
173,"Arlington","Virginia",619
174,"Unassigned","Arkansas",618
175,"Douglas","Nebraska",610
176,"","Grand Princess",609
177,"Sumner","Tennessee",607
178,"Jefferson","Kentucky",606
179,"Schenectady","New York",605
180,"Summit","Ohio",586
181,"Waukesha","Wisconsin",566
182,"James City","Virginia",565
183,"Adams","Colorado",554
184,"Kane","Illinois",552
185,"Gunnison","Colorado",550
186,"St. Louis City","Missouri",549
187,"Kansas City","Missouri",549
188,"Alachua","Florida",545
189,"Howard","Maryland",545
190,"Larimer","Colorado",544
191,"Mahoning","Ohio",541
192,"Unassigned","Rhode Island",537
193,"Anne Arundel","Maryland",535
194,"Multnomah","Oregon",531
195,"San Luis Obispo","California",524
196,"Hamilton","Ohio",520
197,"Osceola","Florida",512
198,"San Bernardino","California",504
199,"Shelby","Alabama",502
200,"Greenville","South Carolina",498
201,"Litchfield","Connecticut",489
202,"Kent","Michigan",488
203,"Sussex","New Jersey",484
204,"Clark","Washington",484
205,"Sullivan","New York",480
206,"Luzerne","Pennsylvania",477
207,"Ada","Idaho",474
208,"Lorain","Ohio",472
209,"Davis","Utah",464
210,"Hamilton","Indiana",458
211,"Seminole","Florida",449
212,"DeSoto","Mississippi",446
213,"Montgomery","Texas",444
214,"","Guam",442
215,"Sonoma","California",440
216,"Madison","Alabama",439
217,"Cherokee","Georgia",438
218,"Prince William","Virginia",431
219,"Hinds","Mississippi",430
220,"Lee","Alabama",427
221,"Hunterdon","New Jersey",426
222,"Navajo","Arizona",425
223,"Carroll","Georgia",425
224,"Lucas","Ohio",422
225,"Lake","Indiana",406
226,"Ramsey","Minnesota",400
227,"Berks","Pennsylvania",393
228,"Brazoria","Texas",393
229,"Placer","California",392
230,"Pinal","Arizona",391
231,"Johnson","Indiana",386
232,"Rensselaer","New York",385
233,"Clayton","Georgia",376
234,"Loudoun","Virginia",375
235,"Grant","Washington",374
236,"Wyandotte","Kansas",373
237,"Fayette","Kentucky",371
238,"Sussex","Delaware",369
239,"Tulsa","Oklahoma",368
240,"Santa Cruz","California",367
241,"Volusia","Florida",365
242,"Gloucester","New Jersey",365
243,"Linn","Oregon",365
244,"Galveston","Texas",365
245,"Kitsap","Washington",364
246,"Sarasota","Florida",362
247,"St. John the Baptist","Louisiana",360
248,"Cleburne","Arkansas",354
249,"Beaufort","South Carolina",354
250,"Coconino","Arizona",351
251,"Cleveland","Oklahoma",351
252,"Santa Barbara","California",341
253,"St. Johns","Florida",339
254,"Hillsborough","New Hampshire",339
255,"Boone","Missouri",333
256,"Tompkins","New York",333
257,"Solano","California",328
258,"Gallatin","Montana",328
259,"Lafayette","Louisiana",315
260,"Olmsted","Minnesota",315
261,"McHenry","Illinois",312
262,"Pitkin","Colorado",311
263,"Warren","New Jersey",310
264,"Benton","Washington",308
265,"Lee","Georgia",307
266,"Lancaster","Pennsylvania",305
267,"Harrison","Mississippi",301
268,"Bossier","Louisiana",298
269,"Greene","Missouri",296
270,"St. Bernard","Louisiana",295
271,"Henry","Georgia",294
272,"Manatee","Florida",292
273,"Jackson","Missouri",291
274,"Virginia Beach","Virginia",291
275,"Lackawanna","Pennsylvania",290
276,"Dakota","Minnesota",289
277,"Ingham","Michigan",288
278,"Polk","Iowa",287
279,"McLennan","Texas",285
280,"Anchorage","Alaska",284
281,"Grafton","New Hampshire",283
282,"Tolland","Connecticut",281
283,"Kern","California",279
284,"Medina","Ohio",277
285,"York","Maine",275
286,"Clackamas","Oregon",275
287,"Hendricks","Indiana",274
288,"Brazos","Texas",274
289,"St. James","Louisiana",272
290,"Livingston","Michigan",272
291,"Rutherford","Tennessee",270
292,"Lafourche","Louisiana",268
293,"Clarke","Georgia",265
294,"Fond du Lac","Wisconsin",264
295,"York","Pennsylvania",262
296,"Miami","Ohio",261
297,"Butler","Ohio",260
298,"Williamson","Texas",257
299,"Knox","Tennessee",254
300,"Union","North Carolina",252
301,"Lexington","South Carolina",251
302,"Guilford","North Carolina",248
303,"Polk","Florida",247
304,"El Paso","Texas",247
305,"Monterey","California",245
306,"Westmoreland","Pennsylvania",244
307,"Hamilton","Tennessee",244
308,"Utah","Utah",243
309,"Forsyth","North Carolina",241
310,"Burleigh","North Dakota",240
311,"Ozaukee","Wisconsin",239
312,"Thurston","Washington",238
313,"Fresno","California",237
314,"Horry","South Carolina",236
315,"Wasatch","Utah",235
316,"Henrico","Virginia",235
317,"Lake","Florida",234
318,"Okaloosa","Florida",233
319,"Pasco","Florida",232
320,"St. Joseph","Indiana",232
321,"Santa Fe","New Mexico",231
322,"Lubbock","Texas",231
323,"Bell","Texas",230
324,"Tulare","California",228
325,"Columbia","New York",228
326,"St. Charles","Louisiana",227
327,"Smith","Texas",227
328,"Carroll","Maryland",225
329,"Washington","Wisconsin",225
330,"St. Charles","Missouri",223
331,"Stark","Ohio",222
332,"Monroe","Michigan",221
333,"Sumter","Florida",220
334,"Fayette","Georgia",220
335,"Terrebonne","Louisiana",220
336,"Jefferson","Arkansas",219
337,"Hall","Georgia",218
338,"Cumberland","Pennsylvania",215
339,"Unassigned","Michigan",215
340,"Franklin","Massachusetts",214
341,"Floyd","Georgia",212
342,"Rapides","Louisiana",212
343,"Unassigned","Louisiana",212
344,"Middlesex","Connecticut",210
345,"Linn","Iowa",209
346,"Anderson","South Carolina",208
347,"Madison","Mississippi",207
348,"Rankin","Mississippi",207
349,"Butler","Pennsylvania",207
350,"Niagara","New York",206
351,"Lake","Ohio",205
352,"Douglas","Georgia",200
353,"Clay","Florida",198
354,"San Benito","California",196
355,"Kenosha","Wisconsin",196
356,"Ouachita","Louisiana",193
357,"York","South Carolina",193
358,"Pearl River","Mississippi",190
359,"Faulkner","Arkansas",189
360,"Cabarrus","North Carolina",189
361,"Deschutes","Oregon",189
362,"Jackson","Mississippi",186
363,"Fremont","Wyoming",186
364,"Stanislaus","California",185
365,"Sedgwick","Kansas",185
366,"Escambia","Florida",184
367,"Hampshire","Massachusetts",184
368,"Mobile","Alabama",180
369,"Washington","Minnesota",180
370,"Minnehaha","South Dakota",180
371,"Unassigned","Connecticut",178
372,"Weber","Utah",177
373,"Tuscaloosa","Alabama",176
374,"Delaware","Ohio",175
375,"Calcasieu","Louisiana",173
376,"Trumbull","Ohio",173
377,"Pike","Pennsylvania",172
378,"Forrest","Mississippi",171
379,"Ottawa","Michigan",170
380,"Windsor","Vermont",169
381,"Coweta","Georgia",167
382,"Kent","Delaware",165
383,"Lowndes","Georgia",164
384,"Decatur","Indiana",164
385,"Brevard","Florida",163
386,"Orange","North Carolina",163
387,"Yellowstone","Montana",159
388,"Broome","New York",157
389,"Robertson","Tennessee",156
390,"Forsyth","Georgia",155
391,"Daviess","Kentucky",155
392,"Harrison","Kentucky",154
393,"Beadle","South Dakota",154
394,"Monongalia","West Virginia",152
395,"Iberville","Louisiana",151
396,"Washington","Pennsylvania",151
397,"St. Clair","Illinois",150
398,"Richmond City","Virginia",150
399,"Walker","Alabama",149
400,"Garfield","Colorado",149
401,"Oneida","New York",149
402,"Montgomery","Ohio",149
403,"Alexandria","Virginia",149
404,"Imperial","California",148
405,"St. Clair","Michigan",148
406,"Beaver","Pennsylvania",148
407,"Garland","Arkansas",147
408,"Charles","Maryland",147
409,"Webb","Texas",146
410,"Harford","Maryland",145
411,"Montgomery","Alabama",143
412,"Franklin","Indiana",143
413,"Dauphin","Pennsylvania",142
414,"Fairbanks North Star","Alaska",141
415,"Martin","Minnesota",141
416,"Leflore","Mississippi",141
417,"New Hanover","North Carolina",141
418,"Yolo","California",140
419,"Berrien","Michigan",140
420,"Benton","Arkansas",139
421,"Jackson","Michigan",139
422,"Chesterfield","Virginia",139
423,"Allen","Indiana",138
424,"Coahoma","Mississippi",138
425,"Canyon","Idaho",137
426,"Tippah","Mississippi",137
427,"Madison","New York",137
428,"Sumter","South Carolina",137
429,"Atlantic","New Jersey",136
430,"Wilson","Tennessee",136
431,"Maui","Hawaii",135
432,"Kankakee","Illinois",135
433,"Iredell","North Carolina",135
434,"Laramie","Wyoming",135
435,"Indian River","Florida",134
436,"Summit","Colorado",133
437,"Spartanburg","South Carolina",133
438,"Unassigned","Mississippi",133
439,"Bristol","Rhode Island",132
440,"Washington","Rhode Island",132
441,"Douglas","Kansas",131
442,"Lee","Mississippi",131
443,"Wichita","Texas",131
444,"Bennington","Vermont",128
445,"Sandoval","New Mexico",127
446,"Buncombe","North Carolina",127
447,"Chambers","Alabama",126
448,"Harnett","North Carolina",126
449,"Richmond","Georgia",125
450,"Plaquemines","Louisiana",125
451,"Saginaw","Michigan",125
452,"Anoka","Minnesota",125
453,"Hays","Texas",125
454,"Citrus","Florida",124
455,"Santa Rosa","Florida",124
456,"De Soto","Louisiana",123
457,"Frederick","Maryland",123
458,"","Virgin Islands",122
459,"Paulding","Georgia",121
460,"St. Lucie","Florida",120
461,"Dallas","Iowa",120
462,"Jefferson","Washington",120
463,"Martin","Florida",119
464,"Dona Ana","New Mexico",118
465,"Kay","Oklahoma",118
466,"Leon","Florida",117
467,"Newport","Rhode Island",117
468,"Nueces","Texas",116
469,"Humboldt","California",115
470,"New London","Connecticut",115
471,"Leavenworth","Kansas",115
472,"Out of UT","Utah",115
473,"Elmore","Alabama",114
474,"Clark","Arkansas",114
475,"Walton","Florida",114
476,"Kootenai","Idaho",114
477,"Newton","Georgia",113
478,"Clark","Indiana",113
479,"Hancock","Indiana",113
480,"Gaston","North Carolina",113
481,"Kent","Rhode Island",113
482,"La Crosse","Wisconsin",112
483,"Gordon","Georgia",111
484,"Ontario","New York",111
485,"Monroe","Florida",110
486,"Portage","Ohio",110
487,"Franklin","Washington",110
488,"Putnam","Tennessee",109
489,"Kittitas","Washington",109
490,"Brunswick","North Carolina",108
491,"Morton","North Dakota",108
492,"Racine","Wisconsin",108
493,"Rockdale","Georgia",106
494,"Cameron","Texas",106
495,"Hidalgo","Texas",106
496,"Addison","Vermont",106
497,"Cole","Missouri",105
498,"Schuylkill","Pennsylvania",105
499,"Orangeburg","South Carolina",105
500,"Hernando","Florida",104
501,"Warren","Ohio",104
502,"San Juan","New Mexico",102
503,"Centre","Pennsylvania",102
504,"Chatham","North Carolina",100
505,"Sheboygan","Wisconsin",100
506,"Limestone","Alabama",99
507,"Ripley","Indiana",99
508,"Van Buren","Arkansas",98
509,"Madera","California",98
510,"Howard","Indiana",98
511,"Clinton","New York",98
512,"Steuben","New York",98
513,"Chelan","Washington",98
514,"Polk","Georgia",97
515,"Floyd","Indiana",97
516,"Jackson","Oregon",97
517,"Yamhill","Oregon",97
518,"Lancaster","South Carolina",97
519,"Champaign","Illinois",96
520,"Stafford","Virginia",96
521,"Kanawha","West Virginia",96
522,"Carver","Minnesota",95
523,"Cass","North Dakota",95
524,"Chatham","Georgia",93
525,"McLean","Illinois",93
526,"Rowan","North Carolina",93
527,"Lebanon","Pennsylvania",93
528,"Matagorda","Texas",93
529,"Unassigned","New Hampshire",93
530,"Norfolk","Virginia",92
531,"Ketchikan Gateway","Alaska",91
532,"Marion","Florida",91
533,"Pawnee","Oklahoma",91
534,"Kalamazoo","Michigan",90
535,"Pike","Mississippi",90
536,"Monroe","Indiana",89
537,"Dubuque","Iowa",89
538,"Geauga","Ohio",89
539,"Washington","Arkansas",88
540,"Routt","Colorado",88
541,"Holmes","Mississippi",88
542,"Charlottesville","Virginia",88
543,"Livingston","Louisiana",87
544,"Lafayette","Mississippi",87
545,"Pitt","North Carolina",87
546,"Washington","Tennessee",87
547,"Kenton","Kentucky",86
548,"Jefferson","Missouri",86
549,"Sarpy","Nebraska",86
550,"Carroll","New Hampshire",86
551,"Jefferson","Texas",86
552,"Oktibbeha","Mississippi",85
553,"Johnston","North Carolina",85
554,"Winnebago","Wisconsin",85
555,"Apache","Arizona",84
556,"Madison","Indiana",84
557,"Morgan","Indiana",84
558,"Hancock","Mississippi",84
559,"Cass","Missouri",84
560,"Missoula","Montana",84
561,"Tipton","Tennessee",84
562,"Mower","Minnesota",83
563,"Ellis","Texas",83
564,"Troup","Georgia",82
565,"Kendall","Illinois",82
566,"Sangamon","Illinois",82
567,"Boone","Indiana",82
568,"Washington","Iowa",82
569,"West Baton Rouge","Louisiana",82
570,"Otsego","Michigan",82
571,"Washington","Mississippi",82
572,"Newport News","Virginia",82
573,"Out of MI","Michigan",82
574,"Early","Georgia",81
575,"Wayne","New York",81
576,"Unassigned","Hawaii",81
577,"Charlotte","Florida",80
578,"Clinton","Michigan",80
579,"York","Virginia",80
580,"Broomfield","Colorado",79
581,"Columbia","Georgia",79
582,"Spalding","Georgia",79
583,"Merrimack","New Hampshire",79
584,"Creek","Oklahoma",79
585,"Albemarle","Virginia",79
586,"Rock","Wisconsin",79
587,"Winnebago","Illinois",78
588,"Cumberland","North Carolina",78
589,"Washington","Oklahoma",78
590,"Unassigned","Vermont",78
591,"Houston","Georgia",77
592,"Washington","Louisiana",77
593,"Canadian","Oklahoma",77
594,"Polk","Oregon",77
595,"Darlington","South Carolina",76
596,"Teton","Wyoming",76
597,"Baldwin","Alabama",75
598,"Mitchell","Georgia",75
599,"Tift","Georgia",75
600,"Allamakee","Iowa",75
601,"Calhoun","Michigan",75
602,"Davidson","North Carolina",75
603,"Morgan","Alabama",74
604,"Herkimer","New York",74
605,"Licking","Ohio",74
606,"Lane","Oregon",74
607,"Montgomery","Tennessee",74
608,"St. Clair","Alabama",73
609,"Crittenden","Arkansas",73
610,"Bibb","Georgia",73
611,"Copiah","Mississippi",73
612,"Berkeley","South Carolina",73
613,"Florence","South Carolina",73
614,"Nevada","California",72
615,"Putnam","Florida",72
616,"Sumter","Georgia",72
617,"Kennebec","Maine",72
618,"Stearns","Minnesota",72
619,"Catawba","North Carolina",72
620,"Dickson","Tennessee",72
621,"Washington","Vermont",72
622,"Lauderdale","Alabama",71
623,"Tangipahoa","Louisiana",71
624,"Oxford","Maine",71
625,"Bolivar","Mississippi",71
626,"Sauk","Wisconsin",71
627,"Flagler","Florida",70
628,"Wilkinson","Mississippi",70
629,"Strafford","New Hampshire",70
630,"Adams","Pennsylvania",70
631,"Columbia","Wisconsin",70
632,"Yavapai","Arizona",69
633,"Mesa","Colorado",69
634,"Delaware","Indiana",69
635,"Elkhart","Indiana",69
636,"Lowndes","Mississippi",69
637,"Warren","New York",69
638,"Wilson","North Carolina",69
639,"Clarendon","South Carolina",69
640,"Comal","Texas",69
641,"St. Landry","Louisiana",68
642,"Marshall","Mississippi",68
643,"Chemung","New York",68
644,"Payne","Oklahoma",68
645,"Benton","Oregon",68
646,"Washington","Utah",68
647,"Windham","Vermont",68
648,"Sheridan","Wyoming",68
649,"Kauai","Hawaii",67
650,"Tippecanoe","Indiana",67
651,"Avoyelles","Louisiana",67
652,"Midland","Michigan",67
653,"Cowlitz","Washington",67
654,"La Plata","Colorado",66
655,"Oconee","Georgia",66
656,"Muscatine","Iowa",66
657,"Androscoggin","Maine",66
658,"Bartholomew","Indiana",65
659,"Lincoln","Maine",65
660,"Blue Earth","Minnesota",65
661,"Scott","Minnesota",65
662,"Le Sueur","Minnesota",64
663,"Wayne","Pennsylvania",64
664,"Klickitat","Washington",64
665,"Eau Claire","Wisconsin",64
666,"Laurens","Georgia",63
667,"Penobscot","Maine",63
668,"Lewis and Clark","Montana",63
669,"Northampton","North Carolina",63
670,"Cheatham","Tennessee",63
671,"Chickasaw","Mississippi",62
672,"Chenango","New York",62
673,"Delaware","New York",62
674,"Fairfield","Ohio",62
675,"Greene","Tennessee",62
676,"Belknap","New Hampshire",61
677,"Carteret","North Carolina",61
678,"Guadalupe","Texas",61
679,"Williamsburg","Virginia",61
680,"Unassigned","Wisconsin",61
681,"Madison","Illinois",60
682,"Vanderburgh","Indiana",60
683,"Assumption","Louisiana",60
684,"St. Martin","Louisiana",60
685,"Webster","Louisiana",60
686,"Cecil","Maryland",60
687,"Ward","North Dakota",60
688,"Belmont","Ohio",60
689,"Maury","Tennessee",60
690,"Midland","Texas",60
691,"Chaffee","Colorado",59
692,"Glynn","Georgia",59
693,"Peoria","Illinois",59
694,"Iberia","Louisiana",59
695,"Eaton","Michigan",59
696,"Greene","New York",59
697,"Clermont","Ohio",59
698,"Worth","Georgia",58
699,"Calvert","Maryland",58
700,"Silver Bow","Montana",58
701,"Erie","Pennsylvania",58
702,"Dorchester","South Carolina",58
703,"Pickens","South Carolina",58
704,"Pueblo","Colorado",57
705,"Muscogee","Georgia",57
706,"Jennings","Indiana",57
707,"Scott","Iowa",57
708,"Lenawee","Michigan",57
709,"Wyoming","New York",57
710,"Randolph","North Carolina",57
711,"Wood","Ohio",57
712,"Clay","Missouri",56
713,"Cumberland","New Jersey",56
714,"Umatilla","Oregon",56
715,"Fayette","Pennsylvania",56
716,"Unassigned","Indiana",56
717,"El Dorado","California",55
718,"Harrison","Iowa",55
719,"Warren","Kentucky",55
720,"Lauderdale","Mississippi",55
721,"Henderson","North Carolina",55
722,"Chesapeake","Virginia",55
723,"Napa","California",54
724,"Highlands","Florida",54
725,"Muskegon","Michigan",54
726,"Lincoln","Mississippi",54
727,"Columbiana","Ohio",54
728,"Unassigned","Maine",54
729,"Terrell","Georgia",53
730,"Clinton","Illinois",53
731,"Porter","Indiana",53
732,"Wright","Minnesota",53
733,"Cape May","New Jersey",53
734,"Tooele","Utah",53
735,"Taos","New Mexico",52
736,"Montgomery","New York",52
737,"Franklin","Pennsylvania",52
738,"Jefferson","Wisconsin",52
739,"Walworth","Wisconsin",52
740,"Attala","Mississippi",51
741,"Livingston","New York",51
742,"Cumberland","Tennessee",51
743,"Hockley","Texas",51
744,"Lamoille","Vermont",51
745,"Marion","Alabama",50
746,"Mono","California",50
747,"Shelby","Indiana",50
748,"Black Hawk","Iowa",50
749,"Tama","Iowa",50
750,"Johnson","Missouri",50
751,"Flathead","Montana",50
752,"Washington","New York",50
753,"Franklin","North Carolina",50
754,"Sullivan","Tennessee",50
755,"Castro","Texas",50
756,"Baker","Florida",49
757,"Hawaii","Hawaii",49
758,"Lewis","Washington",49
759,"Natrona","Wyoming",49
760,"Unassigned","Texas",49
761,"Oswego","New York",48
762,"Blount","Tennessee",48
763,"Brown","Wisconsin",48
764,"Cullman","Alabama",47
765,"Nassau","Florida",47
766,"Peach","Georgia",47
767,"Johnson","Texas",47
768,"Rutland","Vermont",47
769,"Whitfield","Georgia",46
770,"Owen","Indiana",46
771,"Shawnee","Kansas",46
772,"St. Louis","Minnesota",46
773,"Sunflower","Mississippi",46
774,"Otsego","New York",46
775,"Jefferson","Tennessee",46
776,"Franklin","Vermont",46
777,"Calaveras","California",45
778,"Acadia","Louisiana",45
779,"St. Mary","Louisiana",45
780,"Wicomico","Maryland",45
781,"Tate","Mississippi",45
782,"Cherokee","North Carolina",45
783,"Watauga","North Carolina",45
784,"Clallam","Washington",45
785,"Outagamie","Wisconsin",45
786,"Harrison","Indiana",44
787,"Steele","Minnesota",44
788,"Christian","Missouri",44
789,"Cascade","Montana",44
790,"Essex","New York",44
791,"Genesee","New York",44
792,"Onslow","North Carolina",44
793,"Pierce","Wisconsin",44
794,"Allen","Louisiana",43
795,"Hillsdale","Michigan",43
796,"Chaves","New Mexico",43
797,"St. Lawrence","New York",43
798,"Coshocton","Ohio",43
799,"Douglas","Oregon",43
800,"Bay","Michigan",42
801,"Dodge","Minnesota",42
802,"Craven","North Carolina",42
803,"Bradley","Tennessee",42
804,"Fayette","Tennessee",42
805,"Gregg","Texas",42
806,"Teller","Colorado",41
807,"Sagadahoc","Maine",41
808,"Perry","Missouri",41
809,"Cortland","New York",41
810,"Moore","North Carolina",41
811,"Stark","North Dakota",41
812,"Marion","Ohio",41
813,"Wagoner","Oklahoma",41
814,"Aiken","South Carolina",41
815,"Loudon","Tennessee",41
816,"Berkeley","West Virginia",41
817,"Barrow","Georgia",40
818,"Pickens","Georgia",40
819,"St. Mary's","Maryland",40
820,"McKinley","New Mexico",40
821,"Socorro","New Mexico",40
822,"Alamance","North Carolina",40
823,"Tuscarawas","Ohio",40
824,"Sevier","Tennessee",40
825,"Douglas","Wisconsin",40
826,"Dearborn","Indiana",39
827,"Grant","Indiana",39
828,"Charlevoix","Michigan",39
829,"Adams","Mississippi",39
830,"Tunica","Mississippi",39
831,"Allegany","New York",39
832,"Jefferson","New York",39
833,"Ashtabula","Ohio",39
834,"Spotsylvania","Virginia",39
835,"Jefferson","West Virginia",39
836,"Dukes and Nantucket","Massachusetts",39
837,"Shasta","California",38
838,"Clear Creek","Colorado",38
839,"Vigo","Indiana",38
840,"Butler","Kansas",38
841,"Pulaski","Kentucky",38
842,"Scott","Mississippi",38
843,"Pulaski","Missouri",38
844,"Comanche","Oklahoma",38
845,"Georgetown","South Carolina",38
846,"Hardin","Texas",38
847,"Goochland","Virginia",38
848,"Harrisonburg","Virginia",38
849,"Dodge","Wisconsin",38
850,"St. Croix","Wisconsin",38
851,"Kenai Peninsula","Alaska",37
852,"Craighead","Arkansas",37
853,"Saline","Arkansas",37
854,"Montrose","Colorado",37
855,"Windham","Connecticut",37
856,"Woodford","Illinois",37
857,"LaPorte","Indiana",37
858,"Reno","Kansas",37
859,"Lincoln","Louisiana",37
860,"Washington","Maryland",37
861,"Monroe","Mississippi",37
862,"Callaway","Missouri",37
863,"Lincoln","Nebraska",37
864,"Montour","Pennsylvania",37
865,"Louisa","Virginia",37
866,"Jackson","West Virginia",37
867,"Tallapoosa","Alabama",36
868,"DeSoto","Florida",36
869,"Pottawattamie","Iowa",36
870,"Lyon","Kansas",36
871,"Lawrence","Mississippi",36
872,"Carson City","Nevada",36
873,"Richland","Ohio",36
874,"Osage","Oklahoma",36
875,"Orange","Vermont",36
876,"Gloucester","Virginia",36
877,"Autauga","Alabama",35
878,"Chilton","Alabama",35
879,"Linn","Kansas",35
880,"Montgomery","Kentucky",35
881,"Nicollet","Minnesota",35
882,"Walthall","Mississippi",35
883,"Lafayette","Missouri",35
884,"Tioga","New York",35
885,"Josephine","Oregon",35
886,"Campbell","Tennessee",35
887,"Whitman","Washington",35
888,"Lincoln","Arkansas",34
889,"Butte","California",34
890,"Merced","California",34
891,"Morgan","Colorado",34
892,"Fayette","Indiana",34
893,"Clark","Kentucky",34
894,"Cape Girardeau","Missouri",34
895,"Platte","Missouri",34
896,"Knox","Nebraska",34
897,"Lancaster","Nebraska",34
898,"Washington","Nebraska",34
