"Rank","City","State","Total cases as of 3/30"
2458,"Lewis","Kentucky",0
2459,"Lincoln","Kentucky",0
2460,"Livingston","Kentucky",0
2461,"Magoffin","Kentucky",0
2462,"Marion","Kentucky",0
2463,"Marshall","Kentucky",0
2464,"Meade","Kentucky",0
2465,"Metcalfe","Kentucky",0
2466,"Monroe","Kentucky",0
2467,"Morgan","Kentucky",0
2468,"Ohio","Kentucky",0
2469,"Owen","Kentucky",0
2470,"Owsley","Kentucky",0
2471,"Pendleton","Kentucky",0
2472,"Perry","Kentucky",0
2473,"Pike","Kentucky",0
2474,"Powell","Kentucky",0
2475,"Robertson","Kentucky",0
2476,"Rockcastle","Kentucky",0
2477,"Rowan","Kentucky",0
2478,"Russell","Kentucky",0
2479,"Taylor","Kentucky",0
2480,"Todd","Kentucky",0
2481,"Trigg","Kentucky",0
2482,"Trimble","Kentucky",0
2483,"Whitley","Kentucky",0
2484,"Wolfe","Kentucky",0
2485,"Cameron","Louisiana",0
2486,"Concordia","Louisiana",0
2487,"St. Helena","Louisiana",0
2488,"Tensas","Louisiana",0
2489,"West Carroll","Louisiana",0
2490,"Aroostook","Maine",0
2491,"Piscataquis","Maine",0
2492,"Washington","Maine",0
2493,"Allegany","Maryland",0
2494,"Dorchester","Maryland",0
2495,"Dukes","Massachusetts",0
2496,"Nantucket","Massachusetts",0
2497,"Alcona","Michigan",0
2498,"Alger","Michigan",0
2499,"Alpena","Michigan",0
2500,"Arenac","Michigan",0
2501,"Baraga","Michigan",0
2502,"Benzie","Michigan",0
2503,"Branch","Michigan",0
2504,"Dickinson","Michigan",0
2505,"Iron","Michigan",0
2506,"Keweenaw","Michigan",0
2507,"Lake","Michigan",0
2508,"Mackinac","Michigan",0
2509,"Mason","Michigan",0
2510,"Menominee","Michigan",0
2511,"Montmorency","Michigan",0
2512,"Ontonagon","Michigan",0
2513,"Oscoda","Michigan",0
2514,"Presque Isle","Michigan",0
2515,"Schoolcraft","Michigan",0
2516,"Aitkin","Minnesota",0
2517,"Becker","Minnesota",0
2518,"Brown","Minnesota",0
2519,"Carlton","Minnesota",0
2520,"Chippewa","Minnesota",0
2521,"Cook","Minnesota",0
2522,"Crow Wing","Minnesota",0
2523,"Freeborn","Minnesota",0
2524,"Grant","Minnesota",0
2525,"Houston","Minnesota",0
2526,"Hubbard","Minnesota",0
2527,"Kanabec","Minnesota",0
2528,"Kittson","Minnesota",0
2529,"Koochiching","Minnesota",0
2530,"Lake","Minnesota",0
2531,"Lake of the Woods","Minnesota",0
2532,"Lyon","Minnesota",0
2533,"McLeod","Minnesota",0
2534,"Marshall","Minnesota",0
2535,"Mille Lacs","Minnesota",0
2536,"Morrison","Minnesota",0
2537,"Murray","Minnesota",0
2538,"Nobles","Minnesota",0
2539,"Norman","Minnesota",0
2540,"Pennington","Minnesota",0
2541,"Pine","Minnesota",0
2542,"Pipestone","Minnesota",0
2543,"Polk","Minnesota",0
2544,"Pope","Minnesota",0
2545,"Red Lake","Minnesota",0
2546,"Redwood","Minnesota",0
2547,"Rock","Minnesota",0
2548,"Roseau","Minnesota",0
2549,"Stevens","Minnesota",0
2550,"Swift","Minnesota",0
2551,"Todd","Minnesota",0
2552,"Traverse","Minnesota",0
2553,"Yellow Medicine","Minnesota",0
2554,"Greene","Mississippi",0
2555,"Issaquena","Mississippi",0
2556,"Jasper","Mississippi",0
2557,"Jefferson Davis","Mississippi",0
2558,"Stone","Mississippi",0
2559,"Tishomingo","Mississippi",0
2560,"Wayne","Mississippi",0
2561,"Andrew","Missouri",0
2562,"Audrain","Missouri",0
2563,"Barton","Missouri",0
2564,"Butler","Missouri",0
2565,"Caldwell","Missouri",0
2566,"Carroll","Missouri",0
2567,"Clark","Missouri",0
2568,"Dade","Missouri",0
2569,"Dallas","Missouri",0
2570,"Daviess","Missouri",0
2571,"DeKalb","Missouri",0
2572,"Dent","Missouri",0
2573,"Douglas","Missouri",0
2574,"Gasconade","Missouri",0
2575,"Gentry","Missouri",0
2576,"Grundy","Missouri",0
2577,"Harrison","Missouri",0
2578,"Hickory","Missouri",0
2579,"Holt","Missouri",0
2580,"Howard","Missouri",0
2581,"Howell","Missouri",0
2582,"Iron","Missouri",0
2583,"Knox","Missouri",0
2584,"Laclede","Missouri",0
2585,"Lawrence","Missouri",0
2586,"Lewis","Missouri",0
2587,"Linn","Missouri",0
2588,"Madison","Missouri",0
2589,"Marion","Missouri",0
2590,"Mercer","Missouri",0
2591,"Miller","Missouri",0
2592,"Mississippi","Missouri",0
2593,"Monroe","Missouri",0
2594,"New Madrid","Missouri",0
2595,"Nodaway","Missouri",0
2596,"Oregon","Missouri",0
2597,"Ozark","Missouri",0
2598,"Phelps","Missouri",0
2599,"Polk","Missouri",0
2600,"Putnam","Missouri",0
2601,"St. Clair","Missouri",0
2602,"Ste. Genevieve","Missouri",0
2603,"Saline","Missouri",0
2604,"Schuyler","Missouri",0
2605,"Scotland","Missouri",0
2606,"Shannon","Missouri",0
2607,"Sullivan","Missouri",0
2608,"Vernon","Missouri",0
2609,"Washington","Missouri",0
2610,"Wayne","Missouri",0
2611,"Webster","Missouri",0
2612,"Worth","Missouri",0
2613,"Beaverhead","Montana",0
2614,"Big Horn","Montana",0
2615,"Blaine","Montana",0
2616,"Carbon","Montana",0
2617,"Carter","Montana",0
2618,"Chouteau","Montana",0
2619,"Custer","Montana",0
2620,"Daniels","Montana",0
2621,"Dawson","Montana",0
2622,"Fallon","Montana",0
2623,"Fergus","Montana",0
2624,"Garfield","Montana",0
2625,"Glacier","Montana",0
2626,"Golden Valley","Montana",0
2627,"Granite","Montana",0
2628,"Judith Basin","Montana",0
2629,"Liberty","Montana",0
2630,"McCone","Montana",0
2631,"Mineral","Montana",0
2632,"Musselshell","Montana",0
2633,"Petroleum","Montana",0
2634,"Phillips","Montana",0
2635,"Pondera","Montana",0
2636,"Powder River","Montana",0
2637,"Powell","Montana",0
2638,"Prairie","Montana",0
2639,"Richland","Montana",0
2640,"Rosebud","Montana",0
2641,"Sanders","Montana",0
2642,"Sheridan","Montana",0
2643,"Stillwater","Montana",0
2644,"Sweet Grass","Montana",0
2645,"Teton","Montana",0
2646,"Treasure","Montana",0
2647,"Valley","Montana",0
2648,"Wheatland","Montana",0
2649,"Wibaux","Montana",0
2650,"Antelope","Nebraska",0
2651,"Arthur","Nebraska",0
2652,"Banner","Nebraska",0
2653,"Blaine","Nebraska",0
2654,"Boone","Nebraska",0
2655,"Box Butte","Nebraska",0
2656,"Boyd","Nebraska",0
2657,"Brown","Nebraska",0
2658,"Burt","Nebraska",0
2659,"Butler","Nebraska",0
2660,"Cedar","Nebraska",0
2661,"Chase","Nebraska",0
2662,"Cherry","Nebraska",0
2663,"Cheyenne","Nebraska",0
2664,"Clay","Nebraska",0
2665,"Colfax","Nebraska",0
2666,"Cuming","Nebraska",0
2667,"Custer","Nebraska",0
2668,"Dakota","Nebraska",0
2669,"Dawes","Nebraska",0
2670,"Deuel","Nebraska",0
2671,"Dixon","Nebraska",0
2672,"Dundy","Nebraska",0
2673,"Fillmore","Nebraska",0
2674,"Franklin","Nebraska",0
2675,"Frontier","Nebraska",0
2676,"Furnas","Nebraska",0
2677,"Garden","Nebraska",0
2678,"Garfield","Nebraska",0
2679,"Grant","Nebraska",0
2680,"Greeley","Nebraska",0
2681,"Hamilton","Nebraska",0
2682,"Harlan","Nebraska",0
2683,"Hayes","Nebraska",0
2684,"Hitchcock","Nebraska",0
2685,"Holt","Nebraska",0
2686,"Hooker","Nebraska",0
2687,"Howard","Nebraska",0
2688,"Jefferson","Nebraska",0
2689,"Johnson","Nebraska",0
2690,"Keith","Nebraska",0
2691,"Keya Paha","Nebraska",0
2692,"Kimball","Nebraska",0
2693,"Logan","Nebraska",0
2694,"Loup","Nebraska",0
2695,"McPherson","Nebraska",0
2696,"Merrick","Nebraska",0
2697,"Morrill","Nebraska",0
2698,"Nance","Nebraska",0
2699,"Nuckolls","Nebraska",0
2700,"Otoe","Nebraska",0
2701,"Pawnee","Nebraska",0
2702,"Perkins","Nebraska",0
2703,"Phelps","Nebraska",0
2704,"Pierce","Nebraska",0
2705,"Polk","Nebraska",0
2706,"Red Willow","Nebraska",0
2707,"Richardson","Nebraska",0
2708,"Rock","Nebraska",0
2709,"Saline","Nebraska",0
2710,"Seward","Nebraska",0
2711,"Sheridan","Nebraska",0
2712,"Sherman","Nebraska",0
2713,"Sioux","Nebraska",0
2714,"Stanton","Nebraska",0
2715,"Thayer","Nebraska",0
2716,"Thomas","Nebraska",0
2717,"Thurston","Nebraska",0
2718,"Valley","Nebraska",0
2719,"Wayne","Nebraska",0
2720,"Webster","Nebraska",0
2721,"Wheeler","Nebraska",0
2722,"Churchill","Nevada",0
2723,"Esmeralda","Nevada",0
2724,"Eureka","Nevada",0
2725,"Lander","Nevada",0
2726,"Lincoln","Nevada",0
2727,"Mineral","Nevada",0
2728,"Pershing","Nevada",0
2729,"Storey","Nevada",0
2730,"White Pine","Nevada",0
